seed,episode,total_steps,ret,length,terminal_cause,n_awake,n_nrem,n_rem,mean_overload,mean_recall
1,271,5227,-97.484375,13,overload,13,0,0,0.8064903846153846,0.9615384615384616
1,272,5243,-96.13125,16,overload,15,0,1,0.689453125,0.9921875
1,273,5252,-97.125,9,overload,9,0,0,0.6805555555555556,0.8611111111111112
1,274,5271,-98.18125,19,overload,15,2,2,0.6726973684210527,0.9605263157894737
1,275,5291,-97.86875,20,overload,16,2,2,0.6734375,0.98125
1,276,5311,-95.221875,20,overload,17,1,2,0.59609375,0.99375
1,277,5325,-98.45625,14,overload,11,1,2,0.6540178571428571,1.0
1,278,5343,-94.98125,18,energy,16,0,2,0.5989583333333334,0.9930555555555556
1,279,5359,-100.18125,16,overload,12,3,1,0.736328125,0.875
1,280,5369,-97.21875,10,overload,10,0,0,0.721875,1.0
1,281,5379,-97.265625,10,overload,10,0,0,0.7265625,0.9125
1,282,5405,-94.834375,26,energy,20,2,4,0.5474759615384616,0.9951923076923077
1,283,5424,-96.1125,19,energy,16,0,3,0.6217105263157895,1.0
1,284,5434,-97.875,10,overload,10,0,0,0.7875,0.9875
1,285,5453,-95.64375,19,energy,16,0,3,0.5970394736842105,1.0
1,286,5474,-96.39375,21,energy,18,1,2,0.6711309523809523,0.9345238095238095
1,287,5487,-97.746875,13,overload,11,1,1,0.6574519230769231,1.0
1,288,5508,-96.159375,21,energy,18,1,2,0.6599702380952381,0.9464285714285714
1,289,5523,-97.31875,15,overload,14,1,0,0.7479166666666667,0.9833333333333333
1,290,5539,-96.809375,16,overload,14,1,1,0.6630859375,1.0
1,291,5549,-97.125,10,overload,10,0,0,0.7125,0.975
1,292,5557,-98.375,8,overload,8,0,0,0.796875,0.9375
1,293,5588,-96.0125,31,energy,24,4,3,0.6229838709677419,0.9798387096774194
1,294,5604,-98.34375,16,overload,11,2,3,0.552734375,1.0
1,295,5615,-99.153125,11,overload,9,2,0,0.7230113636363636,0.9772727272727273
1,296,5633,-95.246875,18,energy,16,0,2,0.6137152777777778,1.0
